experiment_id,timestamp_utc,strategy_family,strategy_type,config_hash,objective_score,sharpe,calmar,total_return,max_drawdown,trades_per_year,status,viable,baseline_name,comparison_status,baseline_verified,baseline_metric_source,baseline_comparison_kind,baseline_comparison_eligible,delta_sharpe,delta_calmar,delta_return,beats_baseline_objective,beats_baseline_guardrails,source_type,template_id,hypothesis,reason_selected,source_proposal_id,source_idea_ids,result_dir
momentum_8e89d89098a61297_proposal_20260419_051516,2026-04-19T05:15:16.320162+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_check,confirmation_local_neighborhood,Robustness check around the promoted winner.,confirmation batch local neighborhood check,proposal_20260419_051516,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_051516
momentum_8e89d89098a61297_proposal_20260419_065913,2026-04-19T06:59:13.315432+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_065913,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_065913
momentum_8e89d89098a61297_proposal_20260419_070003,2026-04-19T07:00:03.504127+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_070003,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_070003
momentum_8e89d89098a61297_proposal_20260419_070047,2026-04-19T07:00:47.233721+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_070047,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_070047
momentum_8e89d89098a61297_proposal_20260419_070131,2026-04-19T07:01:31.110494+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_070131,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_070131
momentum_8e89d89098a61297_proposal_20260419_070217,2026-04-19T07:02:17.046852+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_070217,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_070217
momentum_8e89d89098a61297_proposal_20260419_070305,2026-04-19T07:03:05.325027+00:00,momentum,classical,8e89d89098a61297,2.0594,1.062,3.92,20.47,-22.29,27.5,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.356,1.779,7.73,True,True,confirmation_reproduction,confirmation_local_neighborhood,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_070305,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_8e89d89098a61297_proposal_20260419_070305
momentum_abf0746a76b52f3a_proposal_20260418_174933,2026-04-18T17:49:33.509043+00:00,momentum,classical,abf0746a76b52f3a,2.0446,1.042,3.888,20.97,-21.76,30.4,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.336,1.747,8.23,True,True,template_expansion,d2b14fdee1e31bc9,Refine a promising lineage branch.,branch remains active and supported by lineage evidence,proposal_20260418_174933,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_abf0746a76b52f3a_proposal_20260418_174933
momentum_abf0746a76b52f3a_proposal_20260419_050121,2026-04-19T05:01:21.038721+00:00,momentum,classical,abf0746a76b52f3a,2.0446,1.042,3.888,20.97,-21.76,30.4,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.336,1.747,8.23,True,True,confirmation_reproduction,d2b14fdee1e31bc9,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_050121,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_abf0746a76b52f3a_proposal_20260419_050121
momentum_abf0746a76b52f3a_proposal_20260419_050205,2026-04-19T05:02:05.548515+00:00,momentum,classical,abf0746a76b52f3a,2.0446,1.042,3.888,20.97,-21.76,30.4,success,True,momentum_champion_s10005,partial_verified_current_engine,True,verified_current_engine,partial,1.0,0.336,1.747,8.23,True,True,confirmation_reproduction,d2b14fdee1e31bc9,momentum_champion_s10005,exact reproduction to confirm a promoted winner,proposal_20260419_050205,"[""idea_momentum_momentum_balanced_default_20260418T151614.212266+0000"", ""idea_momentum_momentum_crash_robust_20260418T151614.212298+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151614.212314+0000"", ""idea_momentum_momentum_volatility_gate_20260418T151614.212326+0000"", ""idea_momentum_momentum_crash_robust_20260418T151307.331164+0000"", ""idea_momentum_momentum_max_widestop_20260418T151307.331212+0000"", ""idea_momentum_momentum_quality_concentrated_20260418T151307.331196+0000"", ""idea_momentum_momentum_quality_slow_20260418T151307.331225+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150314.616974+0000"", ""idea_momentum_momentum_52w_high_proxy_20260418T150910.366800+0000"", ""idea_momentum_momentum_quality_slow_20260418T150314.616919+0000"", ""idea_momentum_momentum_quality_slow_20260418T150910.366754+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150314.616958+0000"", ""idea_momentum_momentum_regime_conservative_20260418T150910.366785+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150314.616987+0000"", ""idea_momentum_momentum_short_lookback_tight_ma_20260418T150910.366812+0000"", ""idea_momentum_confirmation_reproduce_20260418T151614.137613+0000""]",/home/mrlearn/sp500-autoresearch/experiments/runs/momentum_abf0746a76b52f3a_proposal_20260419_050205
